QUESTIONS,,,ANSWERS
hello ,,,Hi ! welcome to the college helpdesk. how can i help yoiu?
what are the college timings?,,,"college timings are  9AM TO 5 PM , Monday to friday "
when is the last date of submission?,,,the admission deadline is mentioned in the latest admission office on the college website 
where is the library?,,,the library is located on the first floor of the academic block 
how can i pay my fees?,,,"fees can be paid online through the student portal or at the college accounts office, if applicable "
when do the exams start?,,,examination dates are announced in the official exam schedule released by the college.
what are the office timings ?,,,the college office is open from 9 AM to 4 PM on working days.
is hostel available ?,,,"yes, hostel facilities are available for the college students."
how can i apply for admission ?,,,you can apply through the college's online admission portal by filling out the application form and uploading the requied documents.
what documents are required for admission?,,,"you need marksheets , id proof, passport size photographs, and the other required documents."
what is the admission fee ?,,,please check the latest fee structure on the official website 
how can i pay my fees?,,,fees can be paid through the online student portal 
when do the classes begin?,,,the class commencement date is announced in the academic calender
when do the exams start?,,,examination dates are announced in the official exam schedule released by the college 
is transportation available ?,,,please contact the administration office for information about the transport facilities 
does the college have a wifi ?,,,"yes, wifi is available on campus for students and staff."
is there a canteen ?,,,"yes, the college has a canteen that serves snacks and meals during college hours."
how can i contact the college ?,,,"you can contact the college through the official website, email or phone number provided there."
who is the primcipal ?,,,please refer tot the official college website for the current principal's detail.
where is the computer lab ?,,,the computer lab is located in the academic block 
is there a placement cell?,,,"yes, the college has a placement cell that helps students with internships and job opportunities "
how can i apply for internships?,,,contact the placemnt cell or check the internship notices shared by the college 
where can i check notices?,,,you can check the notice board or the official college website for the latest announcements.
where can i find the academic calender ?,,,the academic calender is available on the official college website 
how can i reset my student portal password ?,,,please use 'forgot password' option on the student portal or contact the it helpdesk
what should i do if i lose my id card ?,,,report it to the administration office and apply for a duplicate id card.
how can i get my bonafide certificate ?,,,submit an application to the administration office ot follow the online process if available 
how do i get my marksheet ?,,,contact the administration branch for marksheet collection or download it from the student portal if possible 
how can i register for examinations ?,,,examination registration can be completed through thr student portal within the specified dates.
is attendance compulsory?,,,"yes, students must maintain the minimum attendance required by the college regulations "
what is the minimum attendance required ?,,,please refer to your college's attendance policy for the current requirement 
how can i submit my assignments ?,,,assignments should be submitted according to your faculty's instructions or through the learning portal 
how can i contact my department?,,,department contact details are available on the official college website
where is the head branch ?,,,the head branch is located to the next block of administarion department
how can i get my id card ?,,,contact the administration office
who is the dean of our department ?,,,please refer to the notice of the particular department where faculty list is given 
Are scholarships available for students ?,,,yes shcolarships are available for the eligible students. please contact the scholarship office or visit the official website for details 
what should i do if i miss a class ?,,,"you should contact your course instructor, collect the missed notes , and complete the any assignments or work that was covered in the class."
i need help !,,,sure! please ask me yous question and i'll do my best to help you 
Thank you !,,,You're welcome! happy to help. 
